id,logged_at,session_id,event_type,market,symbol,detail,cycle_no
1456,2026-07-14T15:03:05.262397+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 60, ""symbol"": ""CLSK"", ""rsi14"": 50.94, ""threshold"": 30.0, ""strategy_flag"": ""VWAP+RSI"", ""action_bias"": ""WAIT""}",673
1457,2026-07-14T15:05:34.043650+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 10, ""threshold"": 1.8, ""fallback_used"": false}",681
1458,2026-07-14T15:11:26.264170+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 80, ""symbol"": ""CLSK"", ""rsi14"": 61.89, ""threshold"": 30.0, ""strategy_flag"": ""VWAP+VOL+RSI"", ""action_bias"": ""WAIT""}",698
1459,2026-07-14T15:12:06.280236+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",700
1460,2026-07-14T15:12:14.820500+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 10, ""threshold"": 1.8, ""fallback_used"": false}",701
1461,2026-07-14T15:18:08.040921+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 100, ""symbol"": ""CLSK"", ""rsi14"": 61.98, ""threshold"": 30.0, ""strategy_flag"": ""VOL+RSI"", ""action_bias"": ""WAIT""}",718
1462,2026-07-14T15:18:55.434100+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 10, ""threshold"": 1.8, ""fallback_used"": false}",721
1463,2026-07-14T15:24:49.555065+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 120, ""symbol"": ""CLSK"", ""rsi14"": 60.34, ""threshold"": 30.0, ""strategy_flag"": ""VOL+RSI"", ""action_bias"": ""WAIT""}",738
1464,2026-07-14T15:25:36.336113+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 10, ""threshold"": 1.8, ""fallback_used"": false}",741
1465,2026-07-14T15:28:47.163692+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",750
1466,2026-07-14T15:31:31.644323+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 140, ""symbol"": ""CLSK"", ""rsi14"": 50.36, ""threshold"": 30.0, ""strategy_flag"": ""VWAP+RSI"", ""action_bias"": ""WAIT""}",758
1467,2026-07-14T15:32:17.417008+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 10, ""threshold"": 1.8, ""fallback_used"": false}",761
1468,2026-07-14T15:38:58.018630+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 12, ""threshold"": 1.8, ""fallback_used"": false}",781
1469,2026-07-14T15:42:32.902593+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 160, ""symbol"": ""CLSK"", ""rsi14"": 46.25, ""threshold"": 30.0, ""strategy_flag"": ""VWAP+RSI"", ""action_bias"": ""WAIT""}",791
1470,2026-07-14T15:45:33.209433+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",800
1471,2026-07-14T15:45:38.900000+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 14, ""threshold"": 1.8, ""fallback_used"": false}",801
1472,2026-07-14T15:52:22.371773+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 14, ""threshold"": 1.8, ""fallback_used"": false}",821
1473,2026-07-14T15:59:03.882031+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 16, ""threshold"": 1.8, ""fallback_used"": false}",841
1474,2026-07-14T16:02:32.868483+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",850
1475,2026-07-14T16:06:02.716794+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 17, ""threshold"": 1.8, ""fallback_used"": false}",861
1476,2026-07-14T16:13:22.727859+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 18, ""threshold"": 1.8, ""fallback_used"": false}",881
1477,2026-07-14T16:20:50.065375+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",900
1478,2026-07-14T16:20:50.619764+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 18, ""threshold"": 1.8, ""fallback_used"": false}",901
1479,2026-07-14T16:28:21.283571+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 19, ""threshold"": 1.8, ""fallback_used"": false}",921
1480,2026-07-14T16:36:21.153324+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 20, ""threshold"": 1.8, ""fallback_used"": false}",941
1481,2026-07-14T16:40:36.736035+00:00,1e42d58103e5,low_trade_frequency,,,"{""cycle_count"": 50, ""trade_count"": 0, ""ratio"": 0.0, ""top_reasons"": {""domestic:skip:no_action"": 50, ""overseas:skip:no_overseas_candidate"": 50}}",950
1482,2026-07-14T16:44:51.111489+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 23, ""threshold"": 1.8, ""fallback_used"": false}",961
1483,2026-07-14T16:55:38.322554+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 27, ""threshold"": 1.8, ""fallback_used"": false}",981
1484,2026-07-14T17:00:17.138569+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 180, ""symbol"": ""ERIC"", ""rsi14"": 40.82, ""threshold"": 30.0, ""strategy_flag"": ""VWAP+VOL+RSI"", ""action_bias"": ""WAIT""}",987
