id,logged_at,session_id,event_type,market,symbol,detail,cycle_no
842,2026-07-13T15:01:10.015384+00:00,1e42d58103e5,lab_position_state_cleanup,,,"{""count"": 1, ""markets"": [""overseas""], ""symbols"": [""overseas:FHB""]}",44
843,2026-07-13T15:06:38.824455+00:00,1e42d58103e5,tv_scan,overseas,,"{""pool_size"": 9, ""threshold"": 1.8, ""fallback_used"": true}",61
844,2026-07-13T15:07:20.695964+00:00,1e42d58103e5,lab_position_state_cleanup,,,"{""count"": 1, ""markets"": [""overseas""], ""symbols"": [""overseas:CRAN""]}",62
845,2026-07-13T15:07:24.776771+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",62
846,2026-07-13T15:07:43.159856+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",63
847,2026-07-13T15:08:06.022150+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",64
848,2026-07-13T15:08:26.674252+00:00,1e42d58103e5,rsi_threshold_blocked,,,"{""blocked_count"": 20, ""symbol"": ""FHB"", ""rsi14"": 31.68, ""threshold"": 30.0, ""strategy_flag"": ""VOL+RSI"", ""action_bias"": ""WAIT""}",65
849,2026-07-13T15:08:29.477518+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",65
850,2026-07-13T15:08:48.638964+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",66
851,2026-07-13T15:09:33.054532+00:00,1e42d58103e5,lab_position_state_cleanup,,,"{""count"": 1, ""markets"": [""overseas""], ""symbols"": [""overseas:CRAN""]}",68
852,2026-07-13T15:09:36.020332+00:00,1e42d58103e5,trade_skip,overseas,CRAN,"{""reason"": ""pending_buy_order"", ""side"": ""buy"", ""rsi14"": 46.61, ""volume_ratio"": 5.0, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0}",68
