id,logged_at,session_id,event_type,market,symbol,detail,cycle_no
497,2026-07-13T00:00:11.017759+00:00,1e42d58103e5,pool_refresh,domestic,,"{""pool_size"": 4, ""top_names"": [""KODEX SK하이닉스단일종목레버리지"", ""SOL SK하이닉스선물단일종목인버스2X"", ""대한광통신"", ""TIGER SK하이닉스단일종목레버리지""]}",1055
498,2026-07-13T00:09:45.824845+00:00,1e42d58103e5,pool_refresh,domestic,,"{""pool_size"": 20, ""top_names"": [""SOL SK하이닉스선물단일종목인버스2X"", ""KODEX SK하이닉스단일종목레버리지"", ""KODEX 코스닥150레버리지"", ""TIGER SK하이닉스단일종목레버리지"", ""KODEX 삼성전자단일종목레버리지""]}",1075
499,2026-07-13T00:14:26.465727+00:00,1e42d58103e5,trade_skip,domestic,005930,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 45.69, ""volume_ratio"": 0.015, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1076
500,2026-07-13T00:16:52.786071+00:00,1e42d58103e5,trade_skip,domestic,005930,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 45.7, ""volume_ratio"": 0.36, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1077
501,2026-07-13T00:30:08.258478+00:00,1e42d58103e5,trade_skip,domestic,005930,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 36.02, ""volume_ratio"": 0.395, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1082
502,2026-07-13T00:35:44.191148+00:00,1e42d58103e5,trade_skip,domestic,229200,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 47.49, ""volume_ratio"": 0.205, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1084
503,2026-07-13T00:41:28.538160+00:00,1e42d58103e5,trade_skip,domestic,233740,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 44.61, ""volume_ratio"": 0.812, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1086
504,2026-07-13T00:41:29.988591+00:00,1e42d58103e5,trade_skip,domestic,229200,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 45.47, ""volume_ratio"": 0.716, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1086
505,2026-07-13T00:44:16.137250+00:00,1e42d58103e5,trade_skip,domestic,475150,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 51.36, ""volume_ratio"": 3.979, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1087
506,2026-07-13T00:44:17.569618+00:00,1e42d58103e5,trade_skip,domestic,0162Z0,"{""reason"": ""order_rejected"", ""side"": ""buy"", ""rsi14"": 50.39, ""volume_ratio"": 2.396, ""exit_cooldown_remaining"": 0.0, ""cb_active"": 0, ""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다.""}",1087
