id,created_at,direction,command,text,success,error
314,2026-07-14T15:12:07.283312+00:00,sent,,"⚠️ 매매 빈도 낮음
범위=최근 50사이클
매매=0건 비율=0.0%
주요원인=domestic:skip:no_action 50회, overseas:skip:no_overseas_candidate 50회
확인=/lab_status /lab_report compare 2026-07-10",1,
315,2026-07-14T16:00:07.853784+00:00,sent,,"⏰ [자동 relist 알림] 01:00 KST
현재 감시 풀: 16종목
교체: /lab_relist PLTR NVDA AMD ...
유지: 무시",1,
316,2026-07-14T16:20:51.044247+00:00,sent,,"⚠️ 매매 빈도 낮음
범위=최근 50사이클
매매=0건 비율=0.0%
주요원인=domestic:skip:no_action 50회, overseas:skip:no_overseas_candidate 50회
확인=/lab_status /lab_report compare 2026-07-10",1,
317,2026-07-14T17:26:12.006758+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 02:26
건수=1
해외 TCBK 매수접수 +$58.88 x70 전략=VWAP+VOL 주도=VWAP",1,
318,2026-07-14T17:46:02.282791+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 02:46
건수=1
해외 TCBK 매도접수 +$58.81 x70 수익률=-0.08% 매수=VWAP+VOL (주도:VWAP) 청산=추세 이탈 손절 주문=공격지정가",1,
319,2026-07-14T17:55:05.816666+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 02:55
건수=1
해외 ANGO 매수접수 +$12.88 x290 전략=VWAP+VOL 주도=VWAP",1,
320,2026-07-14T17:55:45.652881+00:00,sent,,"⚠️ orderable_qty=0 장기지속
종목=TCBK
지속=12분
보유=70주
참고=자본 동결 가능성, KIS 잔고/미체결 확인 필요",1,
321,2026-07-14T17:56:41.434123+00:00,sent,,"⛔ 서킷브레이커 발동
연속손절 3회 | 세션손익 -28,822원
신규 매수를 중단합니다.",1,
322,2026-07-14T17:58:11.208785+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 02:58
건수=1
해외 TCBK 매도접수 +$58.60 x70 수익률=-0.43% 매수=VWAP+VOL (주도:VWAP) 청산=추세 이탈 손절 주문=공격지정가",1,
323,2026-07-14T18:20:17.990520+00:00,sent,,"⛔ 서킷브레이커 발동
연속손절 4회 | 세션손익 -64,058원
신규 매수를 중단합니다.",1,
324,2026-07-14T18:21:47.262911+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 03:21
건수=1
해외 ANGO 매도접수 +$12.79 x290 수익률=-0.70% 매수=VWAP+VOL (주도:VWAP) 청산=VWAP·모멘텀 소실 손절 주문=공격지정가",1,
325,2026-07-14T18:26:48.521059+00:00,sent,,"✅ 서킷브레이커 자동 해제
쿨다운 30분 완료 → 매수 재개",1,
326,2026-07-14T18:30:35.074959+00:00,sent,,"⏰ [자동 relist 알림] 03:30 KST
현재 감시 풀: 30종목
교체: /lab_relist PLTR NVDA AMD ...
유지: 무시",1,
327,2026-07-14T18:51:12.193209+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 03:51
건수=1
해외 ERIC 매수접수 +$10.12 x409 전략=VWAP+RSI 주도=VWAP",1,
328,2026-07-14T18:58:34.824180+00:00,sent,,"[KIS][거래알림]
시각=7월 15일 03:58
건수=1
해외 ERIC 매도접수 +$10.11 x409 수익률=-0.05% 매수=VWAP+RSI (주도:VWAP) 청산=추세 이탈 손절 주문=공격지정가",1,
