id,created_at,direction,command,text,success,error
407,2026-07-15T15:06:09.477023+00:00,sent,,"[KIS][거래알림]
시각=7월 16일 00:06
건수=1
해외 WNC 매도접수 +$12.50 x336 수익률=+2.51% 매수=VWAP+RSI (주도:VWAP) 청산=익절",1,
408,2026-07-15T15:10:52.290365+00:00,sent,,"[KIS][거래알림]
시각=7월 16일 00:10
시장=해외
종목=-
동작=주문거부
가격=-
수량=-
지표=-
사유=overseas_position_cap_reached
주문거부=1건 (overseas_position_cap_reached)",1,
409,2026-07-15T15:11:34.841882+00:00,sent,,"[KIS][거래알림]
시각=7월 16일 00:11
건수=1
해외 BSBR 매수접수 +$5.38 x762 전략=VWAP+RSI 주도=VWAP",1,
410,2026-07-15T15:16:59.535783+00:00,sent,,"[KIS][거래알림]
시각=7월 16일 00:16
건수=1
해외 BSBR 매도접수 +$5.38 x762 수익률=-0.15% 매수=VWAP+RSI (주도:VWAP) 청산=추세 이탈 손절 주문=공격지정가",1,
411,2026-07-15T15:19:38.888697+00:00,sent,,"[KIS][거래알림]
시각=7월 16일 00:19
건수=1
해외 BCAR 매수접수 +$10.37 x395 전략=VWAP+VOL 주도=VWAP",1,
412,2026-07-15T15:31:53.528324+00:00,received,/lab_gitlog,/lab_gitlog,1,
413,2026-07-15T15:31:54.503617+00:00,sent,,📤 GitHub 로그 업로드 중...,1,
