id,created_at,direction,command,text,success,error
22,2026-07-13T15:19:53.968654+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:19
건수=4
해외 CRAN 매수접수 +$10.20 x79 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x71 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x64 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x58 전략=VWAP+VOL+RSI 주도=VWAP",1,
23,2026-07-13T15:21:24.261906+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:21
건수=4
해외 CRAN 매수접수 +$10.20 x52 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x47 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x42 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x38 전략=VWAP+VOL+RSI 주도=VWAP",1,
24,2026-07-13T15:22:59.102779+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:22
건수=4
해외 CRAN 매수접수 +$10.20 x34 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x30 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x27 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x25 전략=VWAP+VOL+RSI 주도=VWAP",1,
25,2026-07-13T15:24:31.771781+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:24
건수=4
해외 CRAN 매수접수 +$10.20 x22 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x20 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x18 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x16 전략=VWAP+VOL+RSI 주도=VWAP",1,
26,2026-07-13T15:26:03.829544+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:26
건수=4
해외 CRAN 매수접수 +$10.20 x15 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x13 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x12 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x11 전략=VWAP+VOL+RSI 주도=VWAP",1,
27,2026-07-13T15:27:03.611011+00:00,sent,,"[KIS][TELEGRAM_CONTROL_START]
profile=paper
loop_interval_sec=25
controller_mode=persistent_service
use /lab_help for commands",1,
28,2026-07-13T15:27:13.852969+00:00,sent,,✅ TradingView Scanner 접근 가능 — 해외 동적 풀 활성화,1,
29,2026-07-13T15:29:03.477567+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:29
건수=4
해외 CRAN 매수접수 +$10.20 x8 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x7 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x6 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x6 전략=VWAP+VOL+RSI 주도=VWAP",1,
30,2026-07-13T15:30:35.117934+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:30
건수=4
해외 CRAN 매수접수 +$10.20 x5 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x4 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x4 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x4 전략=VWAP+VOL+RSI 주도=VWAP",1,
31,2026-07-13T15:32:02.298029+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:32
건수=4
해외 CRAN 매수접수 +$10.20 x3 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x3 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x3 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x2 전략=VWAP+VOL+RSI 주도=VWAP",1,
