id,created_at,market,symbol,exchange_code,side,order_kind,requested_qty,requested_price,strategy_flag,entry_by,exit_by,status,reason,broker_order_no,is_virtual,payload_json
339,2026-07-13T15:00:36.660034+00:00,overseas,FHB,NASD,SELL,aggressive_limit,429,28.96,VOL+RSI,VOL,momentum_loss_cut,SUBMITTED,momentum_loss_cut,0000041074,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041074"", ""ORD_TMD"": ""000036""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 429, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 429, ""order_division"": ""00"", ""reference_price"": 28.96}"
340,2026-07-13T15:07:01.079755+00:00,overseas,CRAN,NASD,BUY,limit,643,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,[VWAP+VOL+RSI] pullback_entry,0000041155,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041155"", ""ORD_TMD"": ""000701""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
341,2026-07-13T15:09:11.469922+00:00,overseas,CRAN,NASD,BUY,cancel,643,10.2,VWAP+VOL+RSI,VWAP,,CANCELED,stale_buy_replace,0000041176,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40630000"", ""msg1"": ""모의투자 취소주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041176"", ""ORD_TMD"": ""000911""}}, ""original_order_no"": ""41155"", ""order_division"": ""00"", ""original_order_price"": 10.2, ""reference_price"": 10.2, ""open_qty"": 643, ""original_order_orgno"": ""00950""}"
342,2026-07-13T15:09:12.811135+00:00,overseas,CRAN,NASD,BUY,limit,579,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041177,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041177"", ""ORD_TMD"": ""000912""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
343,2026-07-13T15:11:22.898603+00:00,overseas,CRAN,NASD,BUY,cancel,579,10.2,VWAP+VOL+RSI,VWAP,,CANCELED,stale_buy_replace,0000041194,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40630000"", ""msg1"": ""모의투자 취소주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041194"", ""ORD_TMD"": ""001122""}}, ""original_order_no"": ""41177"", ""order_division"": ""00"", ""original_order_price"": 10.2, ""reference_price"": 10.2, ""open_qty"": 579, ""original_order_orgno"": ""00950""}"
344,2026-07-13T15:11:24.241458+00:00,overseas,CRAN,NASD,BUY,limit,585,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041195,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041195"", ""ORD_TMD"": ""001124""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
345,2026-07-13T15:11:49.769270+00:00,overseas,CRAN,NASD,BUY,limit,584,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041197,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041197"", ""ORD_TMD"": ""001149""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
346,2026-07-13T15:12:08.066170+00:00,overseas,CRAN,NASD,BUY,limit,526,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041200,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041200"", ""ORD_TMD"": ""001208""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
347,2026-07-13T15:12:30.842530+00:00,overseas,CRAN,NASD,BUY,limit,473,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041201,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041201"", ""ORD_TMD"": ""001230""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
348,2026-07-13T15:12:56.728128+00:00,overseas,CRAN,NASD,BUY,limit,426,10.2,VWAP+VOL+RSI,VWAP,,SUBMITTED,pullback_entry,0000041203,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000041203"", ""ORD_TMD"": ""001256""}}, ""order_division"": ""00"", ""reference_price"": 10.2}"
