id,created_at,market,symbol,exchange_code,side,order_kind,requested_qty,requested_price,strategy_flag,entry_by,exit_by,status,reason,broker_order_no,is_virtual,payload_json
535,2026-07-15T04:05:24.410421+00:00,domestic,0167A0,,BUY,limit,34,20840.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 20840.0}"
536,2026-07-15T04:10:53.658656+00:00,domestic,360750,,BUY,limit,25,28020.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 28020.0}"
537,2026-07-15T04:16:39.006299+00:00,domestic,069500,,BUY,limit,6,119300.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 119300.0}"
538,2026-07-15T04:22:16.307656+00:00,domestic,122630,,BUY,limit,4,144460.0,VWAP+VOL,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 144460.0}"
539,2026-07-15T04:33:24.924437+00:00,domestic,233740,,BUY,limit,92,7795.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 7795.0}"
540,2026-07-15T04:44:22.574083+00:00,domestic,233740,,BUY,limit,92,7785.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 7785.0}"
541,2026-07-15T04:49:37.274234+00:00,domestic,005930,,BUY,limit,2,283500.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 283500.0}"
542,2026-07-15T04:55:43.223731+00:00,domestic,360750,,BUY,limit,25,28030.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 28030.0}"
543,2026-07-15T05:01:57.812571+00:00,domestic,0167A0,,BUY,limit,34,20645.0,VWAP+VOL,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 20645.0}"
544,2026-07-15T05:42:21.163506+00:00,domestic,379800,,BUY,limit,28,25515.0,VWAP+VOL,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 25515.0}"
545,2026-07-15T05:54:34.656026+00:00,domestic,069500,,BUY,limit,6,117260.0,VWAP+VOL+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 117260.0}"
546,2026-07-15T06:01:07.318505+00:00,domestic,122630,,BUY,limit,5,141470.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 141470.0}"
547,2026-07-15T06:06:21.220334+00:00,domestic,069500,,BUY,limit,6,117940.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 117940.0}"
548,2026-07-15T06:11:54.873666+00:00,domestic,005930,,BUY,limit,2,281000.0,VWAP+RSI,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 281000.0}"
549,2026-07-15T06:17:48.664515+00:00,domestic,229200,,BUY,limit,50,14330.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 14330.0}"
550,2026-07-15T06:22:48.223156+00:00,domestic,229200,,BUY,limit,50,14320.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 14320.0}"
551,2026-07-15T06:27:05.764895+00:00,domestic,229200,,BUY,limit,50,14320.0,VWAP,VWAP,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 14320.0}"
552,2026-07-15T06:31:21.426201+00:00,domestic,233740,,BUY,limit,91,7835.0,VOL,VOL,,REJECTED,order_rejected,,0,"{""error"": ""VTTC0012U http_error=500 IGW00007 MCA 전문바디 구성 중 오류가 발생하였습니다."", ""order_division"": ""00"", ""reference_price"": 7835.0}"
