id,created_at,market,symbol,exchange_code,side,order_kind,requested_qty,requested_price,strategy_flag,entry_by,exit_by,status,reason,broker_order_no,is_virtual,payload_json
567,2026-07-15T15:04:52.234356+00:00,overseas,WNC,NYSE,SELL,limit,336,12.5,VWAP+RSI,VWAP,take_profit,SUBMITTED,take_profit,0000039096,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000039096"", ""ORD_TMD"": ""000452""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 336, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 336, ""order_division"": ""00"", ""reference_price"": 12.5}"
568,2026-07-15T15:10:05.458850+00:00,overseas,BSBR,NYSE,BUY,limit,762,5.385,VWAP+RSI,VWAP,,SUBMITTED,[VWAP+RSI] strategy_buy_signal,0000039147,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000039147"", ""ORD_TMD"": ""001005""}}, ""order_division"": ""00"", ""reference_price"": 5.385}"
569,2026-07-15T15:15:42.185976+00:00,overseas,BSBR,NYSE,SELL,aggressive_limit,762,5.375,VWAP+RSI,VWAP,trend_filter_lost,SUBMITTED,trend_filter_lost,0000039218,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000039218"", ""ORD_TMD"": ""001542""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 762, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 762, ""order_division"": ""00"", ""reference_price"": 5.375}"
570,2026-07-15T15:18:20.228936+00:00,overseas,BCAR,NASD,BUY,limit,395,10.365,VWAP+VOL,VWAP,,SUBMITTED,[VWAP+VOL] strategy_buy_signal,0000039259,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000039259"", ""ORD_TMD"": ""001820""}}, ""order_division"": ""00"", ""reference_price"": 10.365}"
