id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles,entry_price,qty_executed,net_pnl_usd,net_pnl_krw,commission_usd,commission_krw,is_virtual,orderable_qty,stock_name,hold_duration_min,entry_time,exit_cooldown_remaining,cb_active,pool_size,exit_by
64266,2026-07-14T15:00:04.893396+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,664,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64267,2026-07-14T15:00:04.905075+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.825,,0,46.120789348648856,0.20989211914101938,0.00036876622390621396,0.0025362318840579812,13.566855555555556,13.627228571428573,2418.0043,664,,,1e42d58103e5,VWAP+VOL+RSI,,0,13.667363713086111,-0.12534353659500574,-0.2147287073844934,0,-0.010035842293906723,0.2560749999999994,0.0,1,,,,,,,,,,,,,,,,
64268,2026-07-14T15:00:26.124223+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,665,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64269,2026-07-14T15:00:26.135367+00:00,overseas,CLSK,NASD,WAIT,[VWAP] standalone_vwap_blocked,13.7556,,0,51.42119094958799,0.11847512546591435,-0.002534395365677056,-0.003616636528028856,13.632966666666666,13.577942857142856,2314.0126,665,,,1e42d58103e5,VWAP,VWAP,0,13.664867314491435,-0.09696201154734219,-0.18041614046587645,0,-0.013935483870967736,0.23162499999999953,0.0,1,,,,,,,,,,,,,,,,
64270,2026-07-14T15:00:45.175773+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,666,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64271,2026-07-14T15:00:45.187450+00:00,overseas,CLSK,NASD,WAIT,[VWAP] standalone_vwap_blocked,13.755,,0,51.42119094958799,0.11847512546591435,-0.002534395365677056,-0.003616636528028856,13.632966666666666,13.577942857142856,2306.0147,666,,,1e42d58103e5,VWAP,VWAP,0,13.664867314491435,-0.09696201154734219,-0.18041614046587645,0,-0.013935483870967736,0.23162499999999953,0.0,1,,,,,,,,,,,,,,,,
64272,2026-07-14T15:01:04.137420+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,667,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64273,2026-07-14T15:01:04.148377+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.705,,0,51.42119094958799,0.11847512546591435,-0.002534395365677056,-0.003616636528028856,13.632966666666666,13.577942857142856,2224.0166,667,,,1e42d58103e5,VWAP+VOL+RSI,,0,13.664867314491435,-0.09696201154734219,-0.18041614046587645,0,-0.013935483870967736,0.23162499999999953,0.0,1,,,,,,,,,,,,,,,,
64274,2026-07-14T15:01:26.856418+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,668,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64275,2026-07-14T15:01:26.867569+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.63,,0,50.85153515993285,0.4604829649704078,-0.011484431571325115,-0.012556962025316358,13.619233333333334,13.572057142857142,2112.0358,668,,,1e42d58103e5,VWAP+RSI,,0,13.664942048195467,-0.10682184060717148,-0.18238810627784233,0,-0.02293906810035832,0.24662499999999965,0.0,1,,,,,,,,,,,,,,,,
64276,2026-07-14T15:01:45.301052+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,669,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64277,2026-07-14T15:01:45.311933+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.595,,0,50.85153515993285,0.4604829649704078,-0.011484431571325115,-0.012556962025316358,13.619233333333334,13.572057142857142,2046.0423,669,,,1e42d58103e5,VWAP+RSI,,0,13.664942048195467,-0.10682184060717148,-0.18238810627784233,0,-0.02293906810035832,0.24662499999999965,0.0,1,,,,,,,,,,,,,,,,
64278,2026-07-14T15:02:05.198618+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,670,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64279,2026-07-14T15:02:05.209312+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.68,,0,50.85153515993285,0.4604829649704078,-0.011484431571325115,-0.012556962025316358,13.619233333333334,13.572057142857142,2184.0458,670,,,1e42d58103e5,VWAP+RSI,,0,13.664942048195467,-0.10682184060717148,-0.18238810627784233,0,-0.02293906810035832,0.24662499999999965,0.0,1,,,,,,,,,,,,,,,,
64280,2026-07-14T15:02:28.089955+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,671,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64281,2026-07-14T15:02:28.099470+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.675,,0,50.93645194595815,0.6136764648307248,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2176.0487,671,,,1e42d58103e5,VWAP+RSI,,0,13.665032612064447,-0.10533807992340982,-0.18209135414108998,0,-0.019713261648745418,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64282,2026-07-14T15:02:45.215655+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,672,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64283,2026-07-14T15:02:45.227016+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.665,,0,50.93645194595815,0.6136764648307248,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2160.0503,672,,,1e42d58103e5,VWAP+RSI,,0,13.665032612064447,-0.10533807992340982,-0.18209135414108998,0,-0.019713261648745418,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64284,2026-07-14T15:03:05.239899+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,673,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64285,2026-07-14T15:03:05.250657+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.65,,0,50.93645194595815,0.6136764648307248,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2136.0515,673,,,1e42d58103e5,VWAP+RSI,,0,13.665032612064447,-0.10533807992340982,-0.18209135414108998,0,-0.019713261648745418,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64286,2026-07-14T15:03:28.155172+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,674,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64287,2026-07-14T15:03:28.165684+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.62,,0,50.73149308735457,0.7006134110338339,-0.013396089790007277,-0.014466546112115682,13.6163,13.5708,2086.0543,674,,,1e42d58103e5,VWAP+RSI,,0,13.664807250207595,-0.10892782351315411,-0.18280930285903885,0,-0.02365591397849463,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64288,2026-07-14T15:03:44.245471+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,675,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64289,2026-07-14T15:03:44.256604+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.6599,,0,50.73149308735457,0.7006134110338339,-0.013396089790007277,-0.014466546112115682,13.6163,13.5708,2152.0589,675,,,1e42d58103e5,VWAP+RSI,,0,13.664807250207595,-0.10892782351315411,-0.18280930285903885,0,-0.02365591397849463,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64290,2026-07-14T15:04:04.276977+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,676,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64291,2026-07-14T15:04:04.288776+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.61,,0,50.73149308735457,0.7006134110338339,-0.013396089790007277,-0.014466546112115682,13.6163,13.5708,2070.0606,676,,,1e42d58103e5,VWAP+RSI,,0,13.664807250207595,-0.10892782351315411,-0.18280930285903885,0,-0.02365591397849463,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64292,2026-07-14T15:04:28.272599+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,677,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64293,2026-07-14T15:04:28.284260+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.68,,0,50.93645194595815,0.8411193092423738,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2184.0632,677,,,1e42d58103e5,VWAP+RSI,,0,13.665240740392559,-0.10533807992340982,-0.18209135414108998,0,-0.01935483870967739,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64294,2026-07-14T15:04:45.547070+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,678,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64295,2026-07-14T15:04:45.558659+00:00,overseas,CLSK,NASD,WAIT,[VWAP] standalone_vwap_blocked,13.71,,0,50.93645194595815,0.8411193092423738,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2232.0709,678,,,1e42d58103e5,VWAP,VWAP,0,13.665240740392559,-0.10533807992340982,-0.18209135414108998,0,-0.01935483870967739,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64296,2026-07-14T15:05:04.490091+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,679,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64297,2026-07-14T15:05:04.501566+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.6976,,0,50.93645194595815,0.8411193092423738,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2212.0754,679,,,1e42d58103e5,VWAP+RSI,,0,13.665240740392559,-0.10533807992340982,-0.18209135414108998,0,-0.01935483870967739,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64298,2026-07-14T15:05:24.537341+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,680,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64299,2026-07-14T15:05:24.548842+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.63,,0,50.93645194595815,0.8411193092423738,-0.010137581462708224,-0.011211573236889648,13.6213,13.572942857142856,2104.0783,680,,,1e42d58103e5,VWAP+RSI,,0,13.665240740392559,-0.10533807992340982,-0.18209135414108998,0,-0.01935483870967739,0.25037499999999957,0.0,1,,,,,,,,,,,,,,,,
64300,2026-07-14T15:05:48.672759+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,681,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64301,2026-07-14T15:05:48.684343+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.625,,0,47.93451481834823,0.09062389518703924,-0.013043478260869672,-0.005846672652024556,13.674644444444445,13.519614285714287,2094.0813,681,,,1e42d58103e5,VWAP+RSI,,0,13.663927910126674,-0.10156140242075828,-0.17050026984631114,0,-0.023297491039426473,0.22351249999999978,0.0,1,,,,,,,,,,,,,,,,
64302,2026-07-14T15:06:05.668355+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,682,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64303,2026-07-14T15:06:05.679214+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.615,,0,47.93451481834823,0.09062389518703924,-0.013043478260869672,-0.005846672652024556,13.674644444444445,13.519614285714287,2078.0824,682,,,1e42d58103e5,VWAP+RSI,,0,13.663927910126674,-0.10156140242075828,-0.17050026984631114,0,-0.023297491039426473,0.22351249999999978,0.0,1,,,,,,,,,,,,,,,,
64304,2026-07-14T15:06:25.707727+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,683,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64305,2026-07-14T15:06:25.720524+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.58,,0,47.93451481834823,0.09062389518703924,-0.013043478260869672,-0.005846672652024556,13.674644444444445,13.519614285714287,2022.0844,683,,,1e42d58103e5,VWAP+RSI,,0,13.663927910126674,-0.10156140242075828,-0.17050026984631114,0,-0.023297491039426473,0.22351249999999978,0.0,1,,,,,,,,,,,,,,,,
64306,2026-07-14T15:06:45.701549+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,684,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64307,2026-07-14T15:06:45.712581+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.605,,0,47.93451481834823,0.09062389518703924,-0.013043478260869672,-0.005846672652024556,13.674644444444445,13.519614285714287,2062.0852,684,,,1e42d58103e5,VWAP+RSI,,0,13.663927910126674,-0.10156140242075828,-0.17050026984631114,0,-0.023297491039426473,0.22351249999999978,0.0,1,,,,,,,,,,,,,,,,
64308,2026-07-14T15:07:07.278350+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,685,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64309,2026-07-14T15:07:07.290366+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.61,,0,47.8710848513252,0.1806614227170867,-0.014130434782608715,-0.006941555171130167,13.672977777777778,13.5189,2070.0855,685,,,1e42d58103e5,VWAP+RSI,,0,13.663768267215897,-0.10275798361733912,-0.1707395860856273,0,-0.024372759856630816,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64310,2026-07-14T15:07:25.770571+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,686,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64311,2026-07-14T15:07:25.781411+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.585,,0,47.8710848513252,0.1806614227170867,-0.014130434782608715,-0.006941555171130167,13.672977777777778,13.5189,2030.0919,686,,,1e42d58103e5,VWAP+RSI,,0,13.663768267215897,-0.10275798361733912,-0.1707395860856273,0,-0.024372759856630816,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64312,2026-07-14T15:07:46.880655+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,687,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64313,2026-07-14T15:07:46.891339+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.62,,0,47.8710848513252,0.1806614227170867,-0.014130434782608715,-0.006941555171130167,13.672977777777778,13.5189,2086.0939,687,,,1e42d58103e5,VWAP+RSI,,0,13.663768267215897,-0.10275798361733912,-0.1707395860856273,0,-0.024372759856630816,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64314,2026-07-14T15:08:04.754042+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,688,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64315,2026-07-14T15:08:04.764612+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.625,,0,47.8710848513252,0.1806614227170867,-0.014130434782608715,-0.006941555171130167,13.672977777777778,13.5189,2094.0952,688,,,1e42d58103e5,VWAP+RSI,,0,13.663768267215897,-0.10275798361733912,-0.1707395860856273,0,-0.024372759856630816,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64316,2026-07-14T15:08:27.556027+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,689,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64317,2026-07-14T15:08:27.568499+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.64,,0,48.019350046109096,0.3080871964816565,-0.011594202898550735,-0.004386829293216857,13.676866666666667,13.520566666666666,2120.0962,689,,,1e42d58103e5,VWAP+RSI,,0,13.663719575449933,-0.09996596082531717,-0.17018118152722292,0,-0.022222222222222133,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64318,2026-07-14T15:08:45.875215+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,690,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
64319,2026-07-14T15:08:45.885608+00:00,overseas,CLSK,NASD,WAIT,volume_low,13.64,,0,48.019350046109096,0.3080871964816565,-0.011594202898550735,-0.004386829293216857,13.676866666666667,13.520566666666666,2120.1,690,,,1e42d58103e5,VWAP+RSI,,0,13.663719575449933,-0.09996596082531717,-0.17018118152722292,0,-0.022222222222222133,0.2297374999999997,0.0,1,,,,,,,,,,,,,,,,
64320,2026-07-14T15:09:05.892268+00:00,overseas,CRAN,NASD,WAIT,signal_unavailable,10.2,0.0,5251,,,,,,,0.0,691,,,1e42d58103e5,,,0,,,,,,,,1,,,,,,,,,,,,,,,,
