id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade
12505,2026-07-06T00:00:52.653344+00:00,domestic,005930,,HOLD,vr=1.9x mom=+1.85%,316000.0,0.01607717041800643,3,54.312855057084946,1.9049777854802117,0.018533440773569703,0.0210016155088853,311861.1111111111,311535.71428571426,120.6936,978,,,1d30606ac920,,,1
12506,2026-07-06T00:00:54.358722+00:00,domestic,000660,,WAIT,volume_low,2425000.0,,0,63.60594404389887,1.6126179310466817,-0.008634868421052632,-0.00577319587628866,2434722.222222222,2439404.761904762,111.8957,978,,,1d30606ac920,,,1
12507,2026-07-06T00:01:25.571991+00:00,domestic,005930,,HOLD,vr=0.3x mom=+1.61%,315500.0,0.014469453376205787,3,56.54076581576312,0.2858151968793935,0.01607717041800643,0.0047694753577106515,312138.8888888889,311738.09523809527,121.637,979,,,1d30606ac920,,,1
12508,2026-07-06T00:01:27.199201+00:00,domestic,000660,,WAIT,volume_low,2406000.0,,0,67.5858511832053,0.36968545029813066,-0.007599096323680428,0.004991680532445923,2429944.4444444445,2438452.380952381,116.1258,979,,,1d30606ac920,,,1
12509,2026-07-06T00:01:56.209486+00:00,domestic,005930,,HOLD,vr=0.4x mom=+1.45%,315500.0,0.014469453376205787,3,56.53938326897554,0.43297731266155765,0.014469453376205787,0.003179650238473768,312083.3333333333,311714.28571428574,122.1014,980,,,1d30606ac920,,,1
12510,2026-07-06T00:01:59.045860+00:00,domestic,000660,,WAIT,volume_low,2427000.0,,0,67.58637515290897,0.529822492711695,-0.006777572396796057,0.005823627287853577,2430166.6666666665,2438547.619047619,118.2784,980,,,1d30606ac920,,,1
12511,2026-07-06T00:02:26.124620+00:00,domestic,005930,,HOLD,vr=0.2x mom=+1.62%,312750.0,0.005627009646302251,3,56.53563393888932,0.19206420129395985,0.01615508885298869,-0.003169572107765452,312361.1111111111,311904.7619047619,121.4159,981,,,1d30606ac920,VWAP,VWAP,1
12512,2026-07-06T00:02:27.758752+00:00,domestic,000660,,WAIT,volume_low,2404000.0,,0,67.58473738606924,0.3005637358549358,-0.0053608247422680414,-0.0028937577511368336,2426611.111111111,2437404.761904762,115.6034,981,,,1d30606ac920,,,1
12513,2026-07-06T00:02:52.086884+00:00,domestic,005930,,SELL,partial_profit_lock,316000.0,0.01607717041800643,3,56.54025816573502,0.2423242774541935,0.0210016155088853,0.001584786053882726,312527.77777777775,311976.1904761905,122.8592,982,,,1d30606ac920,,,1
12514,2026-07-06T00:02:53.765168+00:00,domestic,000660,,WAIT,volume_low,2414000.0,,0,67.58270855006015,0.46950961657695006,-0.0070103092783505155,-0.0045473336089293095,2426166.6666666665,2437214.285714286,117.7357,982,,,1d30606ac920,,,1
12515,2026-07-06T00:02:56.131026+00:00,domestic,005930,,SELL_REAL,partial_profit_lock,315500.0,0.014469453376205787,3,,,,,,,,982,,13500.0,1d30606ac920,,,0
12516,2026-07-06T00:03:25.048024+00:00,domestic,005930,,WAIT,volume_low,315500.0,,0,63.254309587002375,0.05399070520330577,0.0047694753577106515,0.001584786053882726,312861.1111111111,312202.38095238095,123.7395,983,,,1d30606ac920,,,1
12517,2026-07-06T00:03:26.688800+00:00,domestic,000660,,WAIT,volume_low,2422000.0,,0,71.44122920292128,0.11684324451676079,0.0074875207986688855,0.004979253112033195,2424944.4444444445,2436309.523809524,118.3693,983,,,1d30606ac920,,,1
12518,2026-07-06T00:03:54.666199+00:00,domestic,005930,,WAIT,volume_low,317000.0,,0,63.25769249051094,0.15124636634227648,0.009538950715421303,0.006339144215530904,313027.77777777775,312273.8095238095,124.8845,984,,,1d30606ac920,,,1
12519,2026-07-06T00:03:56.278173+00:00,domestic,000660,,WAIT,volume_low,2418000.0,,0,71.44101884183189,0.18339309248065497,0.007071547420965058,0.004564315352697096,2424833.3333333335,2436261.904761905,118.6217,984,,,1d30606ac920,,,1
12520,2026-07-06T00:04:25.008503+00:00,domestic,005930,,WAIT,volume_low,321000.0,,0,58.71120510466611,0.1349916868205863,0.01584786053882726,0.007861635220125786,314027.77777777775,312750.0,130.2807,985,,,1d30606ac920,,,1
12521,2026-07-06T00:04:26.753733+00:00,domestic,000660,,WAIT,volume_low,2446000.0,,0,71.44756713389941,0.20951180543743575,0.010748243075651096,0.008247422680412371,2426055.5555555555,2436547.619047619,122.2673,985,,,1d30606ac920,,,1
12522,2026-07-06T00:04:55.956218+00:00,domestic,005930,,WAIT,volume_low,320500.0,,0,58.71120510466611,0.260927856799361,0.01584786053882726,0.007861635220125786,314027.77777777775,312750.0,129.5774,986,,,1d30606ac920,,,1
12523,2026-07-06T00:04:57.579245+00:00,domestic,000660,,WAIT,volume_low,2451000.0,,0,71.44893396107048,0.36370720247259253,0.01364200082678793,0.0111340206185567,2426833.3333333335,2436880.9523809524,124.02,986,,,1d30606ac920,,,1
12524,2026-07-06T00:05:28.727544+00:00,domestic,005930,,WAIT,volume_low,320000.0,,0,53.33697758630724,0.18450101026719382,0.012678288431061807,-0.0015625,314861.1111111111,313107.14285714284,128.4932,987,,,1d30606ac920,,,1
12525,2026-07-06T00:05:32.932342+00:00,domestic,000660,,WAIT,volume_low,2446000.0,,0,68.33502915044436,0.31458134770028023,0.015352697095435684,-0.0028524857375713123,2427833.3333333335,2436976.1904761903,123.2344,987,,,1d30606ac920,,,1
12526,2026-07-06T00:06:04.704138+00:00,domestic,005930,,WAIT,volume_low,319500.0,,0,53.33543350397633,0.03941464828185748,0.0047169811320754715,0.0,315888.8888888889,313464.28571428574,128.4347,988,,,1d30606ac920,,,1
12527,2026-07-06T00:06:07.565260+00:00,domestic,000660,,WAIT,volume_low,2448000.0,,0,64.09529360304336,0.048364899403630646,0.008247422680412371,-0.0004088307440719542,2429166.6666666665,2436738.095238095,123.2195,988,,,1d30606ac920,,,1
12528,2026-07-06T00:06:36.284542+00:00,domestic,005930,,WAIT,volume_low,321000.0,,0,53.341257881270295,0.47412523242616694,0.0110062893081761,0.006259780907668232,316111.1111111111,313559.5238095238,131.7727,989,,,1d30606ac920,,,1
12529,2026-07-06T00:06:39.186350+00:00,domestic,000660,,WAIT,volume_low,2456000.0,,0,64.09896364719776,0.42198047054197524,0.013608247422680412,0.004905968928863451,2430611.111111111,2437357.1428571427,126.5177,989,,,1d30606ac920,,,1
12530,2026-07-06T00:07:07.330960+00:00,domestic,000660,,WAIT,volume_low,2467000.0,,0,65.26136979276563,0.0453747910885264,0.0057049714751426246,0.0,2435444.4444444445,2438928.5714285714,126.2957,990,,,1d30606ac920,,,1
12531,2026-07-06T00:07:10.239326+00:00,domestic,005930,,WAIT,재진입대기 3분,321500.0,,0,49.57116052935921,0.35674660946406034,0.00625,0.0015552099533437014,317333.3333333333,314059.5238095238,126.2505,990,,,1d30606ac920,,,1
12532,2026-07-06T00:07:37.921238+00:00,domestic,000660,,WAIT,volume_low,2473000.0,,0,65.26258731778141,0.49821156159048663,0.007742461287693562,0.002025931928687196,2436000.0,2439166.6666666665,130.2214,991,,,1d30606ac920,,,1
12533,2026-07-06T00:07:39.539402+00:00,domestic,005930,,WAIT,재진입대기 3분,322500.0,,0,49.57273976357311,0.7908691340293548,0.0078125,0.003110419906687403,317388.8888888889,314083.3333333333,127.4832,991,,,1d30606ac920,,,1
12534,2026-07-06T00:08:08.236246+00:00,domestic,000660,,WAIT,volume_low,2471000.0,,0,64.66792341793504,0.10012245648987671,0.008994276369582993,-0.0008097165991902834,2440444.4444444445,2440833.3333333335,129.731,992,,,1d30606ac920,,,1
12535,2026-07-06T00:08:11.125372+00:00,domestic,005930,,WAIT,volume_low,322500.0,,0,63.96897678746875,0.09361722611975624,0.010954616588419406,0.000774593338497289,318916.6666666667,314619.04761904763,126.2453,992,,,1d30606ac920,,,1
12536,2026-07-06T00:08:38.044943+00:00,domestic,000660,,WAIT,volume_low,2474000.0,,0,64.66901363396019,0.4400185270958777,0.010220768601798855,0.0004048582995951417,2440777.777777778,2440976.1904761903,127.7082,993,,,1d30606ac920,,,1
12537,2026-07-06T00:08:39.639958+00:00,domestic,005930,,WAIT,volume_low,323000.0,,0,63.96897678746875,0.29259394674316813,0.010954616588419406,0.000774593338497289,318916.6666666667,314619.04761904763,126.3699,993,,,1d30606ac920,,,1
12538,2026-07-06T00:09:07.625942+00:00,domestic,005930,,WAIT,volume_low,321500.0,,0,53.51140721872717,0.06971854801900468,-0.0015552099533437014,-0.003105590062111801,319527.77777777775,315000.0,125.5465,994,,,1d30606ac920,,,1
12539,2026-07-06T00:09:09.218476+00:00,domestic,000660,,WAIT,volume_low,2464000.0,,0,74.06301485121627,0.088025851235713,-0.0024311183144246355,-0.002026753141467369,2446777.777777778,2441500.0,125.0398,994,,,1d30606ac920,,,1
12540,2026-07-06T00:09:39.626296+00:00,domestic,000660,,WAIT,volume_low,2475000.0,,0,74.06708333747405,0.3061157321524744,0.0028363047001620746,0.0032428050263477908,2448222.222222222,2442119.0476190476,129.0783,995,,,1d30606ac920,,,1
12541,2026-07-06T00:09:41.223876+00:00,domestic,005930,,WAIT,volume_low,322250.0,,0,53.51830742834887,0.31204844351213096,0.003110419906687403,0.0015527950310559005,319694.44444444444,315071.4285714286,125.2724,995,,,1d30606ac920,,,1
12542,2026-07-06T00:10:10.853224+00:00,domestic,000660,,WAIT,volume_low,2471000.0,,0,73.15782149842653,0.13316636632967838,-0.0024291497975708503,-0.003639304488475536,2453000.0,2442833.3333333335,125.7112,996,,,1d30606ac920,,,1
12543,2026-07-06T00:10:13.728854+00:00,domestic,005930,,WAIT,volume_low,322000.0,,0,50.86094648925943,0.23735821221097103,-0.006971340046475601,-0.004658385093167702,320194.44444444444,315476.1904761905,122.1255,996,,,1d30606ac920,,,1
12544,2026-07-06T00:10:43.041527+00:00,domestic,000660,,WAIT,volume_low,2457000.0,,0,73.15188150081083,0.4072111419932195,-0.0072874493927125505,-0.008491710473109584,2451666.6666666665,2442261.904761905,124.4557,997,,,1d30606ac920,,,1
12545,2026-07-06T00:10:44.702176+00:00,domestic,005930,,WAIT,volume_low,320000.0,,0,50.85982464213399,0.44772938623682573,-0.0077459333849728895,-0.005434782608695652,320166.6666666667,315464.28571428574,120.805,997,,,1d30606ac920,,,1
