id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles
26668,2026-07-07T15:00:10.275549+00:00,overseas,CRNX,NASD,SELL,momentum_loss_cut,83.535,-0.006009043312708348,361,40.65773243181824,2.0143773616243825,0.0,-0.0002393632936390429,83.53666666666666,83.54047619047618,19799.5299,221,,,006b39da10eb,VOL,VOL,1,83.56312703910615,-0.010308241506578497,-0.013340049000363506,0,-0.00035902345619915195,0.017500000000001847,0.0,0,
26669,2026-07-07T15:00:10.287342+00:00,overseas,SOLS,NASD,SELL,atr_hard_stop,61.75,-0.10116448326055316,441,32.864705422105715,0.9075469419712706,0.005597014925373116,0.005600277742627302,61.663311111111106,64.12589523809524,-1808.683,221,,,006b39da10eb,RSI,RSI,1,63.27357454821889,-1.6848413445091452,-1.6145600782502294,0,-0.008822585819698496,0.8356000000000012,0.0,0,
26670,2026-07-07T15:00:10.298351+00:00,overseas,WULF,NASD,SELL,atr_hard_stop,19.63,-0.12067729797527335,1360,29.572066480483784,1.5184432721906693,0.017070305019125095,0.006654713114754059,19.477777777777778,20.34359523809524,-2277.0782,221,,,006b39da10eb,VWAP,VWAP,1,20.2115146523177,-0.595795158431681,-0.5799690771560894,0,-0.0002544529262086008,0.252475,0.0,0,
26671,2026-07-07T15:00:34.909479+00:00,overseas,CRNX,NASD,SELL,trend_filter_lost,83.54,-0.005949547834364588,361,37.80439825972486,0.018010769516541687,0.0,-5.985156811120018e-05,83.53777777777778,83.53809523809524,19801.53,222,,,006b39da10eb,VOL,VOL,1,83.55784878012386,-0.010077340967399095,-0.013168032883884875,0,-0.00023934897079937794,0.015000000000004121,0.0,0,
26672,2026-07-07T15:00:34.919800+00:00,overseas,SOLS,NASD,SELL,atr_hard_stop,61.8524,-0.09967394468704512,441,31.055471228456597,0.06948452511062264,0.006508298080052043,0.0006470397929472524,61.57386666666667,63.802323809523806,-1778.6801,222,,,006b39da10eb,RSI,RSI,1,63.25937482123683,-1.6239904480723766,-1.6223026594512948,0,-0.007821623355790832,0.7094000000000005,0.0,0,
26673,2026-07-07T15:00:34.928967+00:00,overseas,WULF,NASD,SELL,atr_hard_stop,19.69,-0.11798960759720481,1360,29.572066480483784,1.5184432721906693,0.017070305019125095,0.006654713114754059,19.477777777777778,20.34359523809524,-2223.0723,222,,,006b39da10eb,VWAP,VWAP,1,20.2115146523177,-0.595795158431681,-0.5799690771560894,0,-0.0002544529262086008,0.252475,0.0,0,
26674,2026-07-07T15:00:53.562892+00:00,overseas,CRNX,NASD,SELL,trend_filter_lost,83.54,-0.005949547834364588,361,37.80439825972486,0.018010769516541687,0.0,-5.985156811120018e-05,83.53777777777778,83.53809523809524,19801.5302,223,,,006b39da10eb,VOL,VOL,1,83.55784878012386,-0.010077340967399095,-0.013168032883884875,0,-0.00023934897079937794,0.015000000000004121,0.0,0,
26675,2026-07-07T15:00:53.574054+00:00,overseas,SOLS,NASD,SELL,atr_hard_stop,61.84,-0.09985443959243084,441,31.055471228456597,0.06948452511062264,0.006508298080052043,0.0006470397929472524,61.57386666666667,63.802323809523806,-1782.672,223,,,006b39da10eb,RSI,RSI,1,63.25937482123683,-1.6239904480723766,-1.6223026594512948,0,-0.007821623355790832,0.7094000000000005,0.0,0,
26676,2026-07-07T15:00:53.583357+00:00,overseas,WULF,NASD,SELL,atr_hard_stop,19.79,-0.1135101236337575,1360,32.19034342497953,0.27489598069672433,0.016166281755196372,0.008917197452229336,19.49501111111111,20.23907619047619,-2133.0436,223,,,006b39da10eb,VWAP,VWAP,1,20.20235699921061,-0.5491732718261062,-0.5719503554401437,1,-0.0020121130212456635,0.24997500000000006,0.0,0,
26677,2026-07-07T15:01:10.964033+00:00,overseas,CRNX,NASD,SELL,momentum_loss_cut,83.535,-0.006009043312708348,361,37.80439825972486,0.018010769516541687,0.0,-5.985156811120018e-05,83.53777777777778,83.53809523809524,19799.5309,224,,,006b39da10eb,VOL,VOL,1,83.55784878012386,-0.010077340967399095,-0.013168032883884875,0,-0.00023934897079937794,0.015000000000004121,0.0,0,
